StockCode,Description,TotalUnitsSold,TotalRevenue,ProductPopularityScore
85035c,ROSE 3 WICK MORRIS BOX CANDLE,1,8.47,8.47
40003,WHITE BAMBOO RIBS LAMPSHADE,155,179.23,27780.649999999998
85195,HANGING HEART BASKET,11,23.1,254.10000000000002
22066,LOVE HEART TRINKET POT,2250,1049.1,2360475.0
35923,CANDY HEART HANGING DECORATION,1317,690.1300000000001,908901.2100000002
gift_0001_10,Dotcomgiftshop Gift Voucher £10.00,9,74.97,674.73
23012,GLASS APOTHECARY BOTTLE PERFUME,1066,4177.360000000002,4453065.760000003
23546,WRAP PAISLEY PARK,3275,1375.5,4504762.5
DCGS0067,ebay,-11,0.0,-0.0
21535,,-12,0.0,-0.0
21645,,-1,0.0,-0.0
72800F,,-5,0.0,-0.0
40046A,,20,0.0,0.0
22912,YELLOW COAT RACK PARIS FASHION,281,1312.69,368865.89
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,5977,17354.949999999983,1.037305361499999E8
21106,CREAM SLICE FLANNEL CHOCOLATE SPOT,237,702.51,166494.87
22624,IVORY KITCHEN SCALES,1907,16360.010000000006,3.119853907000001E7
21875,KINGS CHOICE MUG,2027,2394.3799999999997,4853408.259999999
21355,TOAST ITS - I LOVE YOU,794,998.8300000000002,793071.0200000001
21669,BLUE STRIPE CERAMIC DRAWER KNOB,5205,7020.990000000003,3.654425295000002E7
85216,ASSORTED CAKES FRIDGE MAGNETS,55,35.75,1966.25
21224,SET/4 SKULL BADGES,902,1065.0000000000005,960630.0000000005
22337,ANGEL DECORATION PAINTED ZINC,912,574.54,523980.48
22305,COFFEE MUG PINK PAISLEY DESIGN,692,1602.029999999999,1108604.7599999993
78034B,BLUE NETTING STORAGE HANGER,8,15.599999999999998,124.79999999999998
22512,DOORSTOP RACING CAR DESIGN,124,273.4599999999999,33909.03999999999
85035a,GARDENIA 3 WICK MORRIS BOXED CANDLE,2,16.94,33.88
84820,DANISH ROSE TRINKET TRAYS,257,460.8299999999999,118433.30999999998
22852,DOG BOWL VINTAGE CREAM,385,1736.63,668602.55
22258,FELT FARM ANIMAL RABBIT,905,735.1400000000003,665301.7000000003
22134,MINI LADLE LOVE HEART RED,866,401.60000000000014,347785.6000000001
20785,FUSCHIA RETRO BAR STOOL,14,523.3000000000001,7326.200000000001
DCGSSGIRL,GIRLS PARTY BAG,47,144.43,6788.21
23281,FOLDING MIRROR RED,18,14.939999999999998,268.91999999999996
23092,LARGE ANTIQUE WHITE PHOTO FRAME,515,3695.8299999999986,1903352.4499999993
23220,REINDEER HEART DECORATION GOLD,982,860.0199999999995,844539.6399999995
21937,?,-161,0.0,-0.0
35645,VINTAGE BEAD PINK JEWEL BOX,4,17.0,68.0
35965,dotcom,26,0.0,0.0
84977,,3,0.0,0.0
85064,,-13,0.0,-0.0
22310,IVORY KNITTED MUG COSY,668,1296.2299999999996,865881.6399999997
84519A,TOMATO CHARLIE+LOLA COASTER SET,512,905.5499999999997,463641.59999999986
22109,FULL ENGLISH BREAKFAST PLATE,1610,6814.260000000002,1.0970958600000003E7
21116,OWL DOORSTOP,707,4051.789999999997,2864615.529999998
20974,12 PENCILS SMALL TUBE SKULL,6417,4164.079999999996,2.6720901359999977E7
17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,525,595.8499999999998,312821.2499999999
21155,RED RETROSPOT PEG BAG,2919,8790.800000000025,2.5660345200000074E7
17084J,LOVE POTION MASALA INCENSE,225,47.25,10631.25
22936,BAKING MOULD ROSE WHITE CHOCOLATE,207,697.9699999999999,144479.78999999998
21442,GREEN BIRDHOUSE DECORATION,440,310.4899999999999,136615.59999999995
22281,EASTER TREE YELLOW BIRDS,132,935.3899999999999,123471.47999999998
22711,WRAP CIRCUS PARADE,2877,1192.34,3430362.1799999997
47503A,ASS FLORAL PRINT MULTI SCREWDRIVER,2722,1239.119999999999,3372884.6399999973
35933,PINK STOCKING CHRISTMAS DECORATION,226,92.21000000000001,20839.460000000003
47469,ASSORTED SHAPES PHOTO CLIP SILVER,449,225.61,101298.89
84997c,CHILDRENS CUTLERY POLKADOT BLUE,265,2216.21,587295.65
21136,sold as set on dotcom,-272,0.0,-0.0
84584,?,-50,0.0,-0.0
84352,Damages/samples,-52,0.0,-0.0
21690,,38,0.0,0.0
85049F,,-130,0.0,-0.0
21683,,-38,0.0,-0.0
35819P,,108,0.0,0.0
84466,,-1,0.0,-0.0
22533,MAGIC DRAWING SLATE BAKE A CAKE,1763,636.4100000000001,1121990.83
22539,MINI JIGSAW DOLLY GIRL,2921,1130.5799999999997,3302424.1799999992
20760,GARDEN PATH POCKET BOOK,69,58.65,4046.85
22166,WALL MIRROR RECTANGLE DIAMANTE PINK,204,1590.5499999999997,324472.19999999995
21726,MULTI HEARTS  STICKERS,237,204.69,48511.53
22416,SET OF 36 DOILIES SPACEBOY DESIGN,817,1135.3999999999999,927621.7999999999
22085,PAPER CHAIN KIT SKULLS,548,1566.9900000000007,858710.5200000004
21336,GOLD WASHBAG,27,54.57000000000001,1473.39
37462E,"PET MUG, GOLDFISH",36,13.100000000000001,471.6
22498,WOODEN REGATTA BUNTING,334,2121.9900000000016,708744.6600000005
90201D,GREEN ENAMEL FLOWER RING,77,225.84000000000003,17389.680000000004
85031A,ROMANTIC IMAGES SCRAP BOOK SET,16,45.900000000000006,734.4000000000001
22970,LONDON BUS COFFEE MUG,4351,10191.150000000014,4.434169365000006E7
90190A,SILVER/CRYSTAL DROP EARRINGS W LEAF,16,46.760000000000005,748.1600000000001
72812,LARGE ZINC GLASS CANDLEHOLDER,34,116.06,3946.04
23003,TRAVEL CARD WALLET VINTAGE ROSE,542,226.20000000000002,122600.40000000001
90135,ORANGE/WHT/FUSCHIA STONES NECKLACE,8,39.660000000000004,317.28000000000003
35611B,thrown away,-27,0.0,-0.0
47593A,found,13,0.0,0.0
85049b,LUSH GREENS RIBBONS,2,4.92,9.84
22127,Dotcom sold in 6's,-60,0.0,-0.0
23204,CHARLOTTE BAG APPLES DESIGN,7790,7603.600000000009,5.923204400000007E7
20964,POLYESTER FILLER PAD 60x40cm,2,5.1,10.2
22179,SET 10 NIGHT OWL LIGHTS,485,3790.5299999999984,1838407.049999999
22060,damaged,-1,0.0,-0.0
23311,VINTAGE CHRISTMAS STOCKING,2375,6449.9500000000235,1.5318631250000056E7
23035,DOORKNOB CERAMIC IVORY,36,52.199999999999996,1879.1999999999998
23240,SET OF 4 KNICK KNACK TINS DOILY,2333,9648.02999999996,2.250885398999991E7
22415,,-31,0.0,-0.0
84313C,,-6,0.0,-0.0
84686,,34,0.0,0.0
21931,JUMBO STORAGE BAG SUKI,13320,30167.789999999848,4.01834962799998E8
22139,RETROSPOT TEA SET CERAMIC 11 PC,4485,22717.510000000082,1.0188803235000037E8
20992,JAZZ HEARTS PURSE NOTEBOOK,4451,1965.8099999999986,8749820.309999993
84581,DOG TOY WITH PINK CROCHET SKIRT,189,717.2099999999999,135552.68999999997
21000,ROSE DU SUD COSMETICS BAG,97,365.09000000000003,35413.73
22400,MAGNETS PACK OF 4 HOME SWEET HOME,1399,731.4299999999996,1023270.5699999995
22581,WOOD STOCKING CHRISTMAS SCANDISPOT,1569,1137.2800000000007,1784392.320000001
21281,VINTAGE KITCHEN PRINT SEAFOOD,43,129.63,5574.09
21159,MOODY BOY  DOOR HANGER,1127,602.18,678656.86
90082A,DIAMANTE BOW BROOCH GREEN COLOUR,30,193.20000000000002,5796.000000000001
16161U,WRAP SUKI AND FRIENDS,4050,1677.0,6791850.0
84706D,CHERRY BLOSSOM TABLE CLOCK,8,29.599999999999994,236.79999999999995
20868,SILVER FABRIC MIRROR,458,219.34999999999997,100462.29999999999
90112,PINK DOLLY HAIR CLIPS,2,2.1,4.2
85089,CANDY SPOT BUNNY,14,41.300000000000004,578.2
90156,RESIN BRACELET W PASTEL BEADS,4,19.8,79.2
84803B,WHITE ALLIUM  ARTIFICIAL FLOWER,14,23.659999999999997,331.23999999999995
23194,GYMKHANNA TREASURE BOOK BOX,120,261.84,31420.799999999996
21622,POSSIBLE DAMAGES OR LOST?,-750,0.0,-0.0
72024U,LILAC VOTIVE CANDLE,72,15.120000000000001,1088.64
23070,EDWARDIAN HEART PHOTO FRAME,160,709.5400000000002,113526.40000000002
90081B,LILY BROOCH WHITE/SILVER COLOUR,1,4.95,4.95
79030G,Water damaged,-16,0.0,-0.0
23240,SET OF 4 KNICK KNACK TINS DOILEY,1797,7157.889999999989,1.2862728329999981E7
23234,BISCUIT TIN VINTAGE CHRISTMAS,1925,5042.210000000007,9706254.250000015
90182A,AMBER 3 BEAD DROP EARRINGS,8,23.2,185.6
23438,GIFT BAG LARGE SPOT,96,120.0,11520.0
22523,?,-90,0.0,-0.0
85170A,,1,0.0,0.0
82583,,2,0.0,0.0
22184,,-13,0.0,-0.0
POST,POSTAGE,3003,66230.64,1.9889061192E8
84947,ANTIQUE SILVER TEA GLASS ENGRAVED,8674,10258.980000000005,8.898639252000004E7
47421,ASSORTED COLOUR LIZARD SUCTION HOOK,999,395.1,394704.9
22543,MINI JIGSAW BAKE A CAKE,1455,531.64,773536.2
72817,SET OF 2 CHRISTMAS DECOUPAGE CANDLE,1188,1202.27,1428296.76
85199L,LARGE HANGING IVORY & RED WOOD BIRD,964,654.9800000000001,631400.7200000001
21809,CHRISTMAS HANGING TREE WITH BELL,1966,1119.5599999999997,2201054.9599999995
90099,NECKLACE+BRACELET SET BLUE HIBISCUS,27,76.38,2062.2599999999998
22409,MONEY BOX BISCUITS DESIGN,227,298.47,67752.69
47567B,TEA TIME KITCHEN APRON,601,3409.850000000001,2049319.8500000006
16161M,WRAP  PINK FLOCK,25,10.5,262.5
22689,DOORMAT MERRY CHRISTMAS RED,624,4822.250000000004,3009084.0000000023
51008,AFGHAN SLIPPER SOCK PAIR,517,1683.6500000000003,870447.0500000002
21265,PINK GOOSE FEATHER TREE 60CM,131,267.21000000000004,35004.51
22857,ASSORTED EASTER GIFT TAGS,1159,977.7600000000004,1133223.8400000005
90103,PURPLE FRANGIPANI NECKLACE,29,72.65999999999998,2107.1399999999994
20748,Found,40,0.0,0.0
84509b,SET OF 4 FAIRY CAKE PLACEMATS,5,37.3,186.5
72732,thrown away-can't sell,-2472,0.0,-0.0
23065,LARGE JEWELLERY STAND,10,125.0,1250.0
23123,COCKTAIL SWORDS 50 PIECES,930,755.4199999999998,702540.5999999999
21484,,219,0.0,0.0
84845D,,-5,0.0,-0.0
37501,,-12,0.0,-0.0
21610,,-14,0.0,-0.0
22663,JUMBO BAG DOLLY GIRL DESIGN,3409,7031.830000000012,2.397150847000004E7
21479,WHITE SKULL HOT WATER BOTTLE,3734,19958.51999999999,7.452511367999996E7
21242,RED RETROSPOT PLATE,3341,5645.629999999998,1.8862049829999994E7
21985,PACK OF 12 HEARTS DESIGN TISSUES,8803,2737.630000000002,2.4099356890000015E7
72818,CHRISTMAS DECOUPAGE CANDLE,1809,796.0599999999996,1440072.5399999993
21942,SKULLS DESIGN FLANNEL,275,302.8099999999999,83272.74999999997
90214H,"\"LETTER \"\"H\"\" BLING KEY RING\"",48,36.75999999999999,1764.4799999999996
21110,LARGE CAKE TOWEL PINK SPOTS,1104,3808.9500000000007,4205080.800000001
85066,CREAM SWEETHEART MINI CHEST,1751,22248.149999999987,3.8956510649999976E7
82616B,FRAPPUCINO SCARF KNITTING KIT,335,494.44,165637.4
20847,ZINC HEART LATTICE CHARGER LARGE,52,217.57999999999998,11314.16
85170B,SET/6 BLACK BIRD T-LIGHT CANDLES,214,314.65,67335.09999999999
22873,NUMBER TILE COTTAGE GARDEN 5,60,145.49999999999997,8729.999999999998
20758,ABSTRACT CIRCLES POCKET BOOK,162,137.70000000000002,22307.4
35913B,WHITE/PINK CHICK EASTER DECORATION,37,36.33,1344.21
44092B,BLUE WHITE PLASTIC RINGS LAMPSHADE,14,11.899999999999999,166.59999999999997
20866,?,-230,0.0,-0.0
62097B,BLUE STRIPES SHOULDER BAG,9,7.47,67.23
23282,FOLDING BUTTERFLY MIRROR IVORY,794,742.92,589878.48
84804A,wet damaged,-125,0.0,-0.0
23029,DRAWER KNOB CRACKLE GLAZE GREEN,1312,2237.919999999999,2936151.039999999
23037,CANDLE HOLDER SILVER MADELINE,196,325.15999999999997,63731.35999999999
22633,,-53,0.0,-0.0
84849D,,21,0.0,0.0
22168,,-14,0.0,-0.0
22482,,-66,0.0,-0.0
20774,GREEN FERN NOTEBOOK,86,141.23999999999995,12146.639999999996
21894,POTTING SHED SEED ENVELOPES,597,908.3299999999999,542273.01
22754,SMALL RED BABUSHKA NOTEBOOK,1953,1352.1700000000005,2640788.010000001
21833,CAMOUFLAGE LED TORCH,2696,4543.73,1.2249896079999998E7
DOT,DOTCOM POSTAGE,707,206245.48000000007,1.4581555436000004E8
20854,BLUE PATCH PURSE PINK HEART,230,363.2199999999998,83540.59999999995
22278,OVERNIGHT BAG VINTAGE ROSE PAISLEY,400,2679.6000000000004,1071840.0000000002
51014A,"FEATHER PEN,HOT PINK",3818,1957.5799999999995,7474040.439999998
21668,RED STRIPE CERAMIC DRAWER KNOB,5444,7424.990000000003,4.042164556000002E7
22406,MONEY BOX KINGS CHOICE DESIGN,345,402.21000000000004,138762.45
84270,ASSTD DESIGN BUBBLE GUM RING,17,3.5700000000000003,60.690000000000005
84874B,BLUE TRAVEL FIRST AID KIT,41,67.50999999999999,2767.91
20985,HEART CALCULATOR,1167,1526.16,1781028.7200000002
21359,RELAX LARGE WOOD LETTERS,128,852.3300000000004,109098.24000000005
21028,NINJA RABBIT BLACK,187,239.24,44737.880000000005
17096,ASSORTED LAQUERED INCENSE HOLDERS,2545,455.98000000000013,1160469.1000000003
22319,HAIRCLIPS FORTIES FABRIC ASSORTED,1340,583.9600000000003,782506.4000000004
72038P,damages,-990,0.0,-0.0
22989,SET 2 PANTRY DESIGN TEA TOWELS,2791,8934.270000000004,2.493554757000001E7
84593,CROCHET ROSE DES CLOTHES HANGER,5,14.750000000000002,73.75000000000001
23093,SMALL PARISIENNE HEART PHOTO FRAME,938,2236.7500000000005,2098071.5000000005
77079,DOLPHIN WINDMILL,1,2.12,2.12
85230F,,-48,0.0,-0.0
21283,,-15,0.0,-0.0
84218,,-2,0.0,-0.0
84251B,,-60,0.0,-0.0
85200,,6,0.0,0.0
90037D,,-5,0.0,-0.0
22698,,-61,0.0,-0.0
23284,,-2,0.0,-0.0
79000,,461,0.0,0.0
71270,PHOTO CLIP LINE,239,338.73,80956.47
21166,COOK WITH WINE METAL SIGN,10277,20796.539999999935,2.1372604157999933E8
21115,ROSE CARAVAN DOORSTOP,566,3174.840000000001,1796959.4400000006
21983,PACK OF 12 BLUE PAISLEY TISSUES,2277,770.7099999999998,1754906.6699999995
22113,GREY HEART HOT WATER BOTTLE,3204,12701.080000000002,4.069426032000001E7
22642,SET OF 4 NAPKIN CHARMS STARS,269,596.3600000000002,160420.84000000005
21930,JUMBO STORAGE BAG SKULLS,6447,14024.92000000002,9.041865924000013E7
21466,RED FLOWER CROCHET FOOD COVER,304,1116.8899999999999,339534.55999999994
84952C,MIRROR LOVE BIRD T-LIGHT HOLDER,144,255.0,36720.0
22408,MONEY BOX CONFECTIONERY DESIGN,146,163.69,23898.739999999998
35597A,DUSTY PINK CHRISTMAS TREE 30CM,1,1.25,1.25
84707A,SILVER JEWELLED MIRROR TRINKET TRAY,95,695.2299999999998,66046.84999999998
22954,HEN PARTY CORDON BARRIER TAPE,201,246.38,49522.38
82613b,"METAL SIGN,CUPCAKE SINGLE HOOK",4,9.94,39.76
90182C,BLACK 3 BEAD DROP EARRINGS,8,23.259999999999998,186.07999999999998
40046A,RED DAISY PAPER LAMPSHADE,50,62.5,3125.0
44089A,PINK GAUZE BUTTERFLY LAMPSHADE,15,6.300000000000001,94.50000000000001
62096B,PURPLE/TURQ FLOWERS HANDBAG,2,2.5,5.0
22457,NATURAL SLATE HEART CHALKBOARD,9120,27995.360000000124,2.5531768320000112E8
22731,3D CHRISTMAS STAMPS STICKERS,1158,1518.7400000000005,1758700.9200000006
21190,PINK HEARTS PAPER GARLAND,118,172.70000000000002,20378.600000000002
84985A,SET OF 72 GREEN PAPER DOILIES,37,53.650000000000006,1985.0500000000002
84913B,MINT GREEN ROSE TOWEL,196,754.0700000000004,147797.7200000001
21537,RED RETROSPOT PUDDING BOWL,278,1183.46,329001.88
21830,ASSORTED CREEPY CRAWLIES,2621,1107.0700000000006,2901630.4700000016
22027,TEA PARTY BIRTHDAY CARD,4224,1821.8699999999972,7695578.879999988
22104,MIRROR MOSAIC CANDLE PLATE,288,343.7099999999999,98988.47999999998
47481,50CM METAL STRING WITH  7 CLIPS,226,172.63999999999996,39016.63999999999
20892,SET/3 TALL GLASS CANDLE HOLDER PINK,4,89.22,356.88
90187B,GREEN DROP EARRINGS W BEAD CLUSTER,12,40.03,480.36
22303,COFFEE MUG APPLES DESIGN,2748,6182.400000000005,1.6989235200000014E7
90014A,SILVER/MOP ORBIT NECKLACE,16,162.79,2604.64
23005,TRAVEL CARD WALLET I LOVE LONDON,4782,2147.130000000002,1.026757566000001E7
84828,JUNGLE POPSICLES ICE LOLLY MOULDS,938,1311.3700000000003,1230065.0600000003
22987,WRAP SUMMER ROSE DESIGN,102,42.84,4369.68
23203,mailout,100,0.0,0.0
23191,BUNDLE OF 3 RETRO NOTE BOOKS,2155,3552.9899999999975,7656693.449999995
23253,16 PC CUTLERY SET PANTRY DESIGN,4,63.8,255.2
84706F,RED PEONY TABLE CLOCK,16,47.2,755.2
85135B,,-65,0.0,-0.0
20734,,-9,0.0,-0.0
20671,,-22,0.0,-0.0
21000,,-41,0.0,-0.0
20664,,9,0.0,0.0
22736,RIBBON REEL MAKING SNOWMEN,1220,2293.7999999999993,2798435.999999999
21370,MIRRORED WALL ART FOXY,16,100.66000000000003,1610.5600000000004
21427,SKULLS STORAGE BOX SMALL,93,250.14,23263.02
85104,SILVER GLASS T-LIGHT SET,198,516.9,102346.2
84685,BEACH HUT KEY CABINET,33,173.58,5728.14
21781,MA CAMPAGNE CUTLERY BOX,148,2393.600000000002,354252.80000000034
21864,UNION JACK FLAG PASSPORT COVER,809,2001.7900000000027,1619448.1100000022
21896,POTTING SHED TWINE,978,2269.3399999999974,2219414.5199999977
22562,MONSTERS STENCIL CRAFT,1421,1773.3700000000003,2519958.7700000005
22777,GLASS CLOCHE LARGE,345,2892.8800000000006,998043.6000000002
90114,SUMMER DAISIES BAG CHARM,167,417.96,69799.31999999999
84997d,PINK 3 PIECE POLKADOT CUTLERY SET,34,285.46,9705.64
21937,STRAWBERRY   PICNIC BAG,1692,4854.599999999995,8213983.199999992
90130C,GREEN STONE/CRYSTAL EARRINGS,14,40.949999999999996,573.3
35833P,4 PINK FLOCK CHRISTMAS BALLS,50,89.72,4486.0
90133,TEAL/FUSCHIA COL BEAD NECKLACE,19,94.43,1794.17
21818,GLITTER HEART DECORATION,2470,1088.9799999999989,2689780.5999999973
90064B,BLACK VINTAGE  CRYSTAL EARRINGS,11,41.25,453.75
21656,samples,-19,0.0,-0.0
22158,,-120,0.0,-0.0
20699,,-16,0.0,-0.0
21228,,-7,0.0,-0.0
20731,,-5,0.0,-0.0
85226C,,-6,0.0,-0.0
22835,HOT WATER BOTTLE I AM SO POORLY,3080,16375.410000000016,5.043626280000005E7
21591,COSY HOUR CIGAR BOX MATCHES,1324,1933.6399999999999,2560139.36
22485,SET OF 2 WOODEN MARKET CRATES,520,7113.850000000002,3699202.000000001
21688,SILVER PLATE CANDLE BOWL SMALL,348,1101.2800000000002,383245.44000000006
22156,HEART DECORATION WITH PEARLS,2093,2026.6200000000003,4241715.660000001
22190,LOCAL CAFE MUG,676,1057.71,715011.9600000001
22602,CHRISTMAS RETROSPOT HEART WOOD,139,137.58999999999995,19125.00999999999
21364,PEACE SMALL WOOD LETTERS,29,216.21,6270.09
85061W,WHITE JEWELLED HEART DECORATION,2157,1891.499999999999,4079965.499999998
17091J,VANILLA INCENSE IN TIN,2084,920.6699999999998,1918676.2799999996
37489B,BLUE/YELLOW FLOWER DESIGN BIG MUG,31,16.77,519.87
20960,WATERMELON BATH SPONGE,29,72.48999999999998,2102.2099999999996
90014C,SILVER/BLACK ORBIT NECKLACE,3,29.849999999999998,89.55
23348,CHILDRENS TOY COOKING UTENSIL SET,727,1594.8700000000015,1159470.4900000012
23228,FILIGREE HEART BIRD WHITE,1348,1810.240000000001,2440203.5200000014
23287,RED VINTAGE SPOT BEAKER,1840,1570.2399999999993,2889241.5999999987
23315,IVORY REFECTORY CLOCK,201,1996.440000000001,401284.4400000002
23252,ENAMEL JUG PANTRY,8,30.0,240.0
22740,?,-1060,0.0,-0.0
23236,STORAGE TIN VINTAGE DOILY,1260,3670.1000000000026,4624326.000000004
22777,,-35,0.0,-0.0
35809B,,8,0.0,0.0
21523,DOORMAT FANCY FONT HOME SWEET HOME,3241,21561.639999999985,6.988127523999995E7
21328,BALLOONS  WRITING SET,1342,2418.679999999997,3245868.5599999963
22465,HANGING METAL STAR LANTERN,2033,3110.939999999996,6324541.019999992
21154,RED RETROSPOT OVEN GLOVE,3823,6094.760000000003,2.330026748000001E7
48173C,DOORMAT BLACK FLOCK,1797,9984.16,1.794153552E7
22643,SET OF 4 NAPKIN CHARMS LEAVES,240,445.1700000000001,106840.80000000002
22096,PINK PAISLEY SQUARE TISSUE BOX,1367,584.4799999999993,798984.1599999991
22453,MEASURING TAPE BABUSHKA BLUE,443,1188.7400000000002,526611.8200000001
22437,SET OF 9 BLACK SKULL BALLOONS,2840,2410.4400000000005,6845649.6000000015
21288,STRIPEY CHOCOLATE NESTING BOXES,334,1009.0600000000002,337026.04000000004
84792,ENCHANTED BIRD COATHANGER 5 HOOK,805,3864.2800000000025,3110745.400000002
22460,EMBOSSED GLASS TEALIGHT HOLDER,2540,3266.000000000001,8295640.000000002
21735,TWO DOOR CURIO CABINET,179,2194.5,392815.5
79151B,"SILICON CUBE 25W, BLUE",11,4.62,50.82
20906,VINTAGE NOTEBOOK BEAUTY GIRL,3,8.850000000000001,26.550000000000004
22526,WHEELBARROW FOR CHILDREN,121,1643.76,198894.96
90201C,RED ENAMEL FLOWER RING,57,167.72000000000003,9560.04
90024B,NEW BAROQUE B'FLY NECKLACE RED,6,50.28,301.68
90065A,WHITE VINTAGE CRYSTAL BRACELET,9,60.75,546.75
23109,LED TEA LIGHTS,635,1829.6499999999996,1161827.7499999998
22856,sold as set on dotcom,-30,0.0,-0.0
84688,,27,0.0,0.0
84638,,-18,0.0,-0.0
84029G,,280,0.0,0.0
22245,,-147,0.0,-0.0
22088,,-38,0.0,-0.0
21868,,51,0.0,0.0
22960,JAM MAKING SET WITH JARS,8470,36116.09000000008,3.0590328230000067E8
22386,JUMBO BAG PINK POLKADOT,21009,41619.659999999814,8.743874369399961E8
22427,ENAMEL FLOWER JUG CREAM,2071,12427.16000000002,2.573664836000004E7
22584,PACK OF 6 PANNETONE GIFT BOXES,2099,5403.43,1.134179957E7
21993,FLORAL FOLK STATIONERY SET,1931,3348.340000000003,6465644.540000006
22560,TRADITIONAL MODELLING CLAY,8167,9601.260000000006,7.841349042000005E7
84534B,FAIRY CAKE NOTEBOOK A5 SIZE,53,50.72,2688.16
18098C,PORCELAIN BUTTERFLY OIL BURNER,221,658.7500000000002,145583.75000000006
72760B,VINTAGE CREAM 3 BASKET CAKE STAND,408,4140.740000000002,1689421.9200000006
84660C,PINK STITCHED WALL CLOCK,661,693.3200000000003,458284.5200000002
37509,NEW ENGLAND MUG W GIFT BOX,2,5.1,10.2
85094,CANDY SPOT EGG WARMER RABBIT,641,242.3200000000001,155327.12000000008
22048,BIRTHDAY BANQUET GIFT WRAP,950,383.0,363850.0
90141C,TURQ PENDANT TRIPLE SHELL NECKLACE,10,52.31,523.1
47013C,WINE BOTTLE DRESSING DARK BLUE,40,11.530000000000001,461.20000000000005
85123A,?,4000,0.0,0.0
21257,?,-94,0.0,-0.0
21785,,-147,0.0,-0.0
85045,,22,0.0,0.0
21410,,-4,0.0,-0.0
22784,LANTERN CREAM GAZEBO,1240,6204.689999999996,7693815.599999995
84563A,PINK & WHITE BREAKFAST TRAY,96,369.84,35504.64
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,1699,12869.760000000004,2.1865722240000006E7
22301,COFFEE MUG CAT + BIRD DESIGN,2204,4972.43,1.095923572E7
35818P,"ACRYLIC JEWEL ICICLE, PINK",266,106.97,28454.02
85170D,SET/6 PINK BIRD T-LIGHT CANDLES,446,788.9900000000004,351889.54000000015
20983,12 PENCILS TALL TUBE RED RETROSPOT,2739,2376.510000000003,6509260.890000008
21277,FRENCH STYLE EMBOSSED HEART CABINET,24,527.53,12660.72
20781,GOLD EAR MUFF HEADPHONES,37,216.15999999999997,7997.919999999999
22389,PAPERWEIGHT SAVE THE PLANET,238,431.55000000000007,102708.90000000002
22032,BOTANICAL LILY GREETING CARD,427,181.98000000000008,77705.46000000004
90042C,FRESHWATER PEARL BRACELET IVORY,5,12.7,63.5
21112,SWISS ROLL TOWEL PINK  SPOTS,706,1913.69,1351065.1400000001
84859C,PINK DISCO HANDBAG,84,180.52,15163.68
79062D,"RETRO TIN ASHTRAY,REVOLUTIONARY",52,19.4,1008.8
21769,showroom,-5,0.0,-0.0
