features,label,prediction
"[1.0,6.0,6.0]",6,15.262977915444228
"[6.0,6.0,6.0]",2,15.736477475873208
"[1.0,7.0,6.0]",6,15.371092509121356
"[6.0,1.0,6.0]",6,15.195904507487569
"[6.0,6.0,6.0]",9,15.736477475873208
"[6.0,1.0,9.0]",1,15.55104664395204
"[3.0,6.0,1.0]",6,14.8604741788417
"[14.0,2.0,2.0]",12,15.588095549231769
"[1.0,6.0,6.0]",1,15.262977915444228
"[2.0,6.0,2.0]",1,14.884154978910729
"[2.0,1.0,3.0]",1,14.461962722679912
"[1.0,2.0,1.0]",1,14.238615979961597
"[18.0,1.0,1.0]",6,15.740399891743
"[50.0,8.0,2.0]",1,19.645979946383193
"[1.0,50.0,8.0]",1,20.256781461547508
"[6.0,1.0,1.0]",51,14.604000946713448
"[6.0,10.0,51.0]",6,21.496067897548798
"[6.0,6.0,10.0]",1,16.210000324492505
"[6.0,8.0,6.0]",2,15.952706663227463
"[70.0,5.0,3.0]",6,21.33401511922255
"[1.0,1.0,6.0]",4,14.722404947058589
"[2.0,18.0,4.0]",5,16.41829152734591
"[3.0,1.0,6.0]",1,14.91180477123018
"[9.0,2.0,8.0]",13,15.824880261731732
"[1.0,26.0,39.0]",4,21.33183329009598
"[4.0,1.0,26.0]",10,17.374118926412457
"[72.0,10.0,4.0]",6,22.182368623934607
"[2.0,14.0,3.0]",4,15.867452440482577
"[1.0,4.0,2.0]",60,14.573225879470677
"[4.0,60.0,1.0]",3,20.793362149492406
"[3.0,3.0,1.0]",51,14.536130397810316
"[3.0,1.0,2.0]",1,14.438281922610885
"[4.0,11.0,24.0]",2,18.218503438874087
"[12.0,35.0,3.0]",36,19.084858028560223
"[6.0,4.0,3.0]",25,15.16510615205448
"[1.0,25.0,6.0]",3,17.31715519530966
"[18.0,24.0,3.0]",1,18.46379697062659
"[63.0,1.0,18.0]",1,22.014368042235827
"[15.0,6.0,1.0]",6,15.996873123871252
"[6.0,3.0,6.0]",3,15.412133694841824
"[19.0,1.0,3.0]",1,16.071861228138445
"[18.0,7.0,3.0]",3,16.625848878115416
"[24.0,2.0,5.0]",8,16.8902368065542
"[4.0,6.0,12.0]",30,16.25736192463056
"[30.0,4.0,6.0]",61,17.793046178578056
"[67.0,61.0,30.0]",7,30.300611857064574
"[6.0,5.0,3.0]",9,15.273220745731608
"[9.0,6.0,5.0]",6,15.902196499975773
"[62.0,43.0,3.0]",2,24.684770382267047
"[3.0,3.0,37.0]",9,18.79783603538398
"[13.0,3.0,7.0]",27,16.19341379159722
"[12.0,27.0,13.0]",4,19.40374840069144
"[183.0,38.0,3.0]",6,35.60288677626272
"[1.0,7.0,27.0]",7,17.85708746437266
"[4.0,7.0,68.0]",3,22.99479639897783
"[2.0,2.0,9.0]",18,15.280361589285985
"[9.0,18.0,2.0]",14,16.844429487636837
"[5.0,4.0,48.0]",6,20.397538286935763
"[2.0,1.0,2.0]",6,14.343582010525088
"[5.0,2.0,3.0]",3,14.854177052614428
"[2.0,2.0,2.0]",2,14.451696604202217
"[2.0,2.0,1.0]",1,14.333315892047393
"[1.0,1.0,2.0]",1,14.248882098439292
"[2.0,3.0,1.0]",1,14.44143048572452
"[2.0,1.0,1.0]",3,14.225201298370266
"[1.0,4.0,2.0]",1,14.573225879470677
"[1.0,1.0,4.0]",1,14.48564352274894
"[1.0,4.0,1.0]",11,14.454845167315852
"[1.0,4.0,2.0]",2,14.573225879470677
"[12.0,2.0,1.0]",8,15.280315012905351
"[1.0,4.0,1.0]",10,14.454845167315852
"[6.0,4.0,10.0]",11,15.993771137138248
"[11.0,6.0,4.0]",3,15.97321561199254
"[3.0,1.0,1.0]",1,14.319901210456061
"[1.0,2.0,2.0]",1,14.356996692116422
"[1.0,1.0,2.0]",1,14.248882098439292
"[32.0,2.0,12.0]",21,18.476501088324333
"[1.0,2.0,21.0]",10,16.606230223058077
"[3.0,10.0,1.0]",1,15.292932553550212
"[30.0,20.0,1.0]",1,18.930976116637986
"[1.0,30.0,20.0]",1,19.515058133862837
"[1.0,10.0,1.0]",1,15.103532729378621
"[1.0,1.0,3.0]",1,14.367262810594116
"[1.0,2.0,1.0]",2,14.238615979961597
"[192.0,24.0,24.0]",48,37.42757662880639
"[24.0,24.0,24.0]",72,21.51799139839267
"[50.0,72.0,24.0]",24,29.169689609125506
"[48.0,24.0,24.0]",48,23.790789288451773
"[1.0,24.0,48.0]",24,22.181030512135138
"[100.0,100.0,200.0]",100,57.766899175623905
"[100.0,200.0,100.0]",200,56.740287327854304
"[100.0,100.0,500.0]",100,93.2811128220711
"[100.0,300.0,200.0]",100,79.38981791104949
"[100.0,100.0,300.0]",100,69.6049703911063
"[200.0,200.0,100.0]",100,66.2102785364339
"[25.0,25.0,25.0]",75,21.839186616310418
"[75.0,25.0,25.0]",25,26.574182220600214
"[25.0,50.0,25.0]",25,24.542051458238618
"[25.0,25.0,50.0]",25,24.798704420181018
"[25.0,25.0,25.0]",75,21.839186616310418
"[25.0,75.0,25.0]",25,27.244916300166814
"[25.0,25.0,25.0]",125,21.839186616310418
"[125.0,25.0,25.0]",25,31.309177824890014
"[75.0,75.0,25.0]",25,31.979911904456614
"[75.0,75.0,50.0]",25,34.93942970832721
"[25.0,75.0,25.0]",50,27.244916300166814
"[175.0,50.0,25.0]",25,38.74703827110801
"[25.0,75.0,25.0]",25,27.244916300166814
"[25.0,25.0,25.0]",50,21.839186616310418
"[50.0,50.0,50.0]",75,29.869067064254114
"[275.0,75.0,50.0]",25,53.87941212548641
"[25.0,100.0,100.0]",25,38.826334553706815
"[100.0,125.0,50.0]",50,42.712657194328514
"[50.0,100.0,125.0]",25,44.15335015972231
"[75.0,25.0,25.0]",26,26.574182220600214
"[1.0,2.0,1.0]",1,14.238615979961597
"[1.0,1.0,2.0]",3,14.248882098439292
"[4.0,1.0,3.0]",1,14.651362546851505
"[1.0,4.0,1.0]",2,14.454845167315852
"[6.0,1.0,2.0]",2,14.722381658868272
"[5.0,2.0,36.0]",24,18.76074055372362
"[5.0,3.0,2.0]",26,14.843910934136733
"[1.0,26.0,5.0]",12,17.306889076831965
"[1.0,1.0,24.0]",1,16.85325776584542
"[1.0,1.0,1.0]",2,14.130501386284468
"[2.0,1.0,2.0]",1,14.343582010525088
"[1.0,2.0,1.0]",2,14.238615979961597
"[5.0,2.0,1.0]",3,14.61741562830478
"[2.0,2.0,3.0]",4,14.570077316357041
"[13.0,18.0,2.0]",2,17.22322913598002
"[2.0,13.0,18.0]",1,17.535048529127806
"[1.0,2.0,13.0]",6,15.659184525819484
"[6.0,1.0,2.0]",30,14.722381658868272
"[2.0,30.0,6.0]",15,17.952428075781096
"[2.0,15.0,2.0]",4,15.85718632200488
"[4.0,4.0,4.0]",4,15.094087040037712
"[26.0,6.0,2.0]",1,17.15695286896983
"[1.0,26.0,6.0]",6,17.42526978898679
"[14.0,4.0,1.0]",51,15.6859440244312
"[51.0,14.0,4.0]",26,20.626128844841404
"[2.0,2.0,40.0]",3,18.950163666085526
"[41.0,1.0,57.0]",28,24.54781775038645
"[1.0,28.0,28.0]",2,20.24587464374717
"[1.0,2.0,1.0]",28,14.238615979961597
"[1.0,28.0,112.0]",28,30.189854464752383
"[1.0,28.0,28.0]",2,20.24587464374717
"[2.0,5.0,2.0]",13,14.7760403852336
"[13.0,2.0,5.0]",4,15.848537773610444
"[2.0,1.0,4.0]",1,14.580343434834736
"[1.0,3.0,31.0]",4,17.898151938283444
"[18.0,10.0,60.0]",3,23.697893251971763
"[30.0,2.0,3.0]",8,17.22167485475933
"[94.0,1.0,4.0]",3,23.292735346727966
"[120.0,3.0,94.0]",1,36.625426342247074
"[90.0,2.0,1.0]",6,22.66690815559744
"[14.0,6.0,90.0]",8,26.438056593564788
"[8.0,14.0,6.0]",30,16.790794049461823
"[30.0,8.0,14.0]",84,19.17255025052516
"[8.0,30.0,1.0]",37,17.928723987521753
"[30.0,37.0,8.0]",30,21.597589194232928
"[31.0,91.0,30.0]",31,30.13485283228976
"[1.0,3.0,30.0]",1,17.77977122612862
"[91.0,36.0,2.0]",50,26.55588496486041
"[1.0,30.0,1.0]",15,17.26582460292118
"[15.0,1.0,30.0]",6,18.889340807975508
"[6.0,15.0,1.0]",2,16.11760525819324
"[1.0,30.0,1.0]",11,17.26582460292118
"[31.0,1.0,60.0]",30,23.955960765992963
"[1.0,1.0,30.0]",30,17.563542038774365
"[30.0,30.0,60.0]",30,26.996584070543875
"[35.0,3.0,60.0]",6,24.5509896016904
"[5.0,31.0,90.0]",40,28.288622226720825
"[40.0,5.0,31.0]",92,21.807677696983742
"[7.0,30.0,92.0]",35,28.606668881524936
"[1.0,4.0,4.0]",1,14.809987303780325
"[31.0,1.0,1.0]",2,16.971498748858348
"[61.0,35.0,27.0]",1,26.56629081248
"[1.0,61.0,35.0]",6,24.642321220176164
"[70.0,6.0,1.0]",3,21.20536828859003
"[42.0,13.0,3.0]",7,19.547334330237288
"[68.0,17.0,35.0]",91,26.23017320813086
"[28.0,56.0,1.0]",1,22.633701664843
"[1.0,28.0,56.0]",1,23.56053458408224
"[6.0,56.0,1.0]",1,20.550303598955487
"[1.0,6.0,56.0]",28,21.182013523185425
"[28.0,28.0,1.0]",1,19.606493041883414
"[6.0,2.0,3.0]",4,14.948876964700224
"[4.0,6.0,2.0]",1,15.07355480308232
"[1.0,113.0,10.0]",28,27.30476228751622
"[28.0,28.0,28.0]",2,22.802772270063663
"[3.0,1.0,3.0]",14,14.556662634765708
"[20.0,1.0,2.0]",4,16.048180428069415
"[33.0,56.0,2.0]",1,23.225581937426803
"[1.0,33.0,56.0]",11,24.10110755246788
"[6.0,2.0,1.0]",1,14.712115540390577
"[2.0,1.0,6.0]",1,14.817104859144385
"[1.0,1.0,2.0]",24,14.248882098439292
"[6.0,24.0,3.0]",1,17.32739802559704
"[1.0,2.0,4.0]",6,14.593758116426068
"[1.0,24.0,2.0]",24,16.735517753013237
"[3.0,1.0,1.0]",24,14.319901210456061
"[15.0,4.0,4.0]",25,16.135786072981467
"[23.0,8.0,3.0]",2,17.207463032221526
"[5.0,1.0,3.0]",30,14.7460624589373
"[1.0,2.0,2.0]",2,14.356996692116422
"[1.0,1.0,1.0]",1,14.130501386284468
"[1.0,1.0,1.0]",1,14.130501386284468
"[1.0,1.0,1.0]",1,14.130501386284468
"[3.0,14.0,1.0]",1,15.725390928258724
"[10.0,1.0,3.0]",2,15.21956201936628
"[24.0,1.0,2.0]",1,16.4269800764126
"[1.0,1.0,24.0]",24,16.85325776584542
"[24.0,2.0,1.0]",10,16.416713957934903
"[1.0,1.0,1.0]",4,14.130501386284468
"[4.0,1.0,1.0]",1,14.414601122541857
"[24.0,5.0,1.0]",5,16.741057738966287
"[39.0,1.0,4.0]",1,18.08424018200919
"[1.0,39.0,1.0]",15,18.23885594601533
"[15.0,1.0,39.0]",1,19.95476721736892
"[1.0,15.0,1.0]",1,15.64410569776426
"[18.0,18.0,12.0]",72,18.880535817957238
"[72.0,6.0,18.0]",6,23.40724021939363
"[6.0,6.0,72.0]",36,23.549604478091588
"[6.0,12.0,1.0]",18,15.793261477161856
"[6.0,36.0,12.0]",6,19.69019955911599
"[18.0,36.0,72.0]",72,27.92944123343498
"[1.0,1.0,100.0]",1,25.85019188961204
"[1.0,1.0,1.0]",1,14.130501386284468
"[2.0,100.0,100.0]",100,36.648236575733506
"[100.0,1.0,100.0]",1,35.22548318610584
"[1.0,100.0,1.0]",1,24.83384616032014
"[6.0,2.0,3.0]",3,14.948876964700224
"[36.0,1.0,72.0]",6,25.85002887227983
"[1.0,12.0,36.0]",108,19.463086842151714
"[38.0,36.0,36.0]",6,25.561733837577236
"[36.0,6.0,38.0]",72,22.365657627401454
"[72.0,36.0,6.0]",36,25.23010948384958
"[1.0,6.0,36.0]",26,18.81439928008895
"[36.0,6.0,29.0]",12,21.300231218008037
"[12.0,36.0,6.0]",36,19.54811475870182
"[18.0,3.0,36.0]",6,20.099954004516093
"[1.0,48.0,96.0]",24,30.45805494381776
"[12.0,4.0,3.0]",48,15.733305624569256
"[5.0,6.0,3.0]",2,15.28663542732294
"[2.0,24.0,1.0]",20,16.711836952944207
"[5.0,20.0,2.0]",48,16.681859026647906
"[48.0,5.0,20.0]",5,21.263089159967045
"[8.0,24.0,12.0]",4,18.582224259162047
"[1.0,1.0,6.0]",1,14.722404947058589
"[1.0,1.0,1.0]",1,14.130501386284468
"[10.0,24.0,1.0]",3,17.469436249630576
"[1.0,2.0,48.0]",75,19.802509451238322
"[75.0,1.0,2.0]",10,21.256675592788195
"[9.0,3.0,72.0]",2,23.509360433317593
"[12.0,4.0,2.0]",24,15.614924912414432
"[1.0,24.0,12.0]",1,17.919324874561475
"[24.0,24.0,72.0]",14,27.20026558182422
"[1.0,1.0,1.0]",2,14.130501386284468
"[6.0,3.0,5.0]",2,15.293752982687
"[1.0,13.0,1.0]",1,15.427876510410005
"[1.0,1.0,13.0]",1,15.551069932142356
"[1.0,1.0,1.0]",3,14.130501386284468
"[3.0,1.0,1.0]",2,14.319901210456061
"[1.0,1.0,1.0]",1,14.130501386284468
"[1.0,1.0,1.0]",1,14.130501386284468
"[1.0,2.0,1.0]",20,14.238615979961597
"[1.0,1.0,22.0]",1,16.616496341535772
"[1.0,6.0,6.0]",20,15.262977915444228
"[1.0,2.0,20.0]",1,16.487849510903253
"[1.0,1.0,1.0]",1,14.130501386284468
"[8.0,1.0,3.0]",20,15.030162195194688
"[20.0,20.0,8.0]",1,18.81264198086379
"[1.0,20.0,20.0]",20,18.433912197091555
"[6.0,1.0,26.0]",1,17.56351875058405
"[1.0,1.0,1.0]",1,14.130501386284468
"[1.0,1.0,1.0]",1,14.130501386284468
"[1.0,7.0,4.0]",11,15.13433108481171
"[3.0,4.0,1.0]",1,14.644244991487444
"[1.0,1.0,1.0]",1,14.130501386284468
"[3.0,1.0,4.0]",3,14.675043346920532
"[2.0,2.0,1.0]",1,14.333315892047393
"[6.0,1.0,2.0]",2,14.722381658868272
"[1.0,6.0,2.0]",6,14.789455066824932
"[1.0,2.0,6.0]",6,14.830519540735716
"[2.0,1.0,1.0]",1,14.225201298370266
"[2.0,2.0,1.0]",6,14.333315892047393
"[1.0,3.0,2.0]",1,14.465111285793549
"[1.0,1.0,3.0]",1,14.367262810594116
"[1.0,1.0,1.0]",1,14.130501386284468
"[1.0,1.0,1.0]",2,14.130501386284468
"[1.0,1.0,1.0]",1,14.130501386284468
"[2.0,12.0,1.0]",1,15.414461828818672
"[1.0,1.0,1.0]",6,14.130501386284468
"[6.0,1.0,1.0]",2,14.604000946713448
"[1.0,1.0,2.0]",1,14.248882098439292
"[1.0,1.0,1.0]",3,14.130501386284468
"[2.0,12.0,5.0]",3,15.887984677437968
"[3.0,1.0,1.0]",3,14.319901210456061
"[5.0,3.0,3.0]",3,14.962291646291556
"[2.0,6.0,1.0]",6,14.765774266755905
"[6.0,2.0,1.0]",6,14.712115540390577
"[13.0,4.0,1.0]",2,15.591244112345404
"[3.0,2.0,13.0]",6,15.848584349991077
"[6.0,3.0,2.0]",1,14.938610846222529
"[2.0,2.0,1.0]",6,14.333315892047393
"[1.0,1.0,6.0]",6,14.722404947058589
"[3.0,1.0,6.0]",6,14.91180477123018
"[7.0,6.0,6.0]",6,15.831177387959004
"[2.0,2.0,1.0]",1,14.333315892047393
"[5.0,2.0,7.0]",11,15.327699901233725
"[2.0,2.0,4.0]",2,14.688458028511864
"[1.0,2.0,2.0]",1,14.356996692116422
"[4.0,6.0,3.0]",5,15.191935515237144
"[2.0,3.0,3.0]",6,14.678191910034169
"[1.0,6.0,6.0]",1,15.262977915444228
"[6.0,12.0,1.0]",6,15.793261477161856
"[1.0,6.0,1.0]",5,14.67107435467011
"[2.0,1.0,1.0]",2,14.225201298370266
"[2.0,3.0,2.0]",1,14.559811197879345
"[4.0,5.0,24.0]",24,17.56981587681132
"[24.0,4.0,5.0]",1,17.106465993908454
"[24.0,1.0,24.0]",144,19.03135574381873
"[144.0,24.0,1.0]",4,30.159224469127235
"[4.0,144.0,24.0]",24,32.597744397932104
"[6.0,24.0,3.0]",1,17.32739802559704
"[1.0,6.0,24.0]",48,17.39383073423106
"[72.0,2.0,24.0]",48,23.685066117614063
"[78.0,30.0,48.0]",24,30.121611304804194
"[74.0,96.0,576.0]",12,99.3833908568985
"[24.0,48.0,24.0]",6,24.11274164664374
"[24.0,7.0,48.0]",24,22.52118039759727
"[48.0,12.0,42.0]",312,24.624266983113067
"[51.0,48.0,96.0]",29,35.19305054810756
"[96.0,54.0,48.0]",144,34.4209599705996
"[942.0,48.0,24.0]",471,111.04726094140445
"[12.0,168.0,3.0]",89,33.46409898761824
"[3.0,2.0,3.0]",1,14.664777228442837
"[3.0,9.0,7.0]",5,15.895102232802028
"[3.0,5.0,3.0]",1,14.989121009474221
"[3.0,3.0,12.0]",1,15.83831823151338
"[1.0,8.0,2.0]",6,15.005684254179188
"[1.0,3.0,6.0]",14,14.938634134412844
"[2.0,1.0,3.0]",3,14.461962722679912
"[12.0,5.0,3.0]",2,15.841420218246384
"[6.0,2.0,1.0]",1,14.712115540390577
"[3.0,2.0,1.0]",4,14.428015804133189
"[5.0,4.0,4.0]",2,15.188786952123507
"[3.0,3.0,3.0]",1,14.772891822119965
"[1.0,3.0,3.0]",2,14.583491997948373
"[72.0,4.0,1.0]",12,21.178538925407366
"[12.0,72.0,4.0]",8,23.203478706768784
"[29.0,8.0,8.0]",20,18.36756606551042
"[75.0,24.0,16.0]",1,25.400641217529675
"[2.0,8.0,16.0]",12,16.75771413643252
"[12.0,2.0,8.0]",5,16.10897999798912
"[5.0,12.0,2.0]",1,15.816942277230885
"[2.0,8.0,4.0]",1,15.337145590574632
"[1.0,2.0,8.0]",1,15.067280965045365
"[1.0,1.0,1.0]",1,14.130501386284468
"[5.0,4.0,12.0]",3,16.1358326493621
"[3.0,5.0,4.0]",8,15.107501721629045
"[1.0,17.0,8.0]",2,16.688999870202284
"[75.0,1.0,8.0]",8,21.966959865717136
"[8.0,75.0,1.0]",32,22.79388070299251
"[32.0,8.0,75.0]",1,26.583173516141013
"[2.0,1.0,32.0]",44,17.895003375169807
"[44.0,2.0,1.0]",1,18.310712199650823
"[8.0,1.0,44.0]",1,19.88377139354247
"[8.0,1.0,8.0]",12,15.622065755968809
"[16.0,8.0,12.0]",24,17.609990057014368
"[8.0,14.0,12.0]",2,17.501078322390768
"[1.0,2.0,1.0]",1,14.238615979961597
"[77.0,2.0,1.0]",8,21.43580929848209
"[20.0,8.0,77.0]",1,25.68353599542111
"[10.0,2.0,8.0]",24,15.919580173817529
"[16.0,8.0,24.0]",1,19.030558602872254
"[5.0,3.0,18.0]",8,16.738002328613916
"[8.0,5.0,3.0]",1,15.4626205699032
"[24.0,1.0,8.0]",16,17.137264349341542
"[3.0,2.0,13.0]",9,15.848584349991077
"[3.0,9.0,3.0]",10,15.421579384182731
"[4.0,25.0,3.0]",6,17.246112795102576
"[12.0,15.0,1.0]",2,16.685804730708014
"[2.0,12.0,15.0]",1,17.071791798986208
"[75.0,1.0,8.0]",24,21.966959865717136
"[7.0,1.0,24.0]",44,17.421457238360198
"[83.0,8.0,5.0]",2,23.126219181678927
"[8.0,2.0,83.0]",9,24.60873376125773
"[3.0,3.0,72.0]",42,22.94116096080282
"[42.0,3.0,3.0]",8,18.466188393466005
"[8.0,8.0,24.0]",16,18.27295930618589
"[2.0,1.0,40.0]",10,18.8420490724084
"[9.0,2.0,1.0]",1,14.996215276647964
"[1.0,9.0,2.0]",2,15.113798847856316
"[2.0,1.0,9.0]",6,15.172246995608857
"[3.0,12.0,4.0]",48,15.86430387736894
"[4.0,8.0,48.0]",1,20.73529674955848
"[1.0,23.0,27.0]",10,19.58692096320671
"[26.0,27.0,16.0]",2,21.084689306357056
"[38.0,26.0,13.0]",20,21.757831521245006
"[36.0,73.0,20.0]",8,27.478482584982196
"[8.0,36.0,73.0]",2,27.100822824731843
"[5.0,5.0,9.0]",1,15.888805106574756
"[76.0,12.0,5.0]",9,22.89577817178687
"[2.0,9.0,76.0]",29,23.968671459399083
"[29.0,2.0,9.0]",2,17.837259215602476
"[7.0,1.0,2.0]",5,14.817081570954068
"[5.0,7.0,1.0]",4,15.157988596690421
"[16.0,4.0,5.0]",2,16.34886669722209
"[17.0,1.0,12.0]",8,16.947887813360268
"[6.0,4.0,10.0]",4,15.993771137138248
"[12.0,2.0,8.0]",16,16.10897999798912
"[16.0,12.0,2.0]",1,16.85864131017464
"[3.0,10.0,11.0]",3,16.47673967509845
"[3.0,3.0,10.0]",4,15.601556807203732
"[76.0,2.0,4.0]",88,21.696251522860766
"[7.0,24.0,16.0]",72,18.96104719569555
"[2.0,9.0,3.0]",4,15.326879472096936
"[4.0,2.0,9.0]",35,15.469761413457576
"[2.0,35.0,4.0]",21,18.256239619857087
"[21.0,2.0,35.0]",5,20.15755843494153
"[13.0,16.0,5.0]",7,17.362142085090234
"[1.0,7.0,13.0]",12,16.199757494205123
"[12.0,1.0,7.0]",1,15.882484692157167
"[1.0,4.0,73.0]",12,22.978256442463177
"[2.0,8.0,12.0]",2,16.284191287813226
"[2.0,2.0,8.0]",8,15.16198087713116
"[11.0,1.0,2.0]",2,15.195881219297252
"[25.0,2.0,11.0]",2,17.695220991568938
"[3.0,7.0,1.0]",14,14.968588772518828
"[14.0,3.0,7.0]",3,16.288113703683017
"[6.0,7.0,1.0]",8,15.252688508776217
"[1.0,6.0,1.0]",1,14.67107435467011
"[1.0,6.0,1.0]",6,14.67107435467011
"[11.0,6.0,6.0]",7,16.20997703630219
"[65.0,1.0,7.0]",1,20.901580032704352
"[13.0,1.0,1.0]",3,15.26690033131402
"[1.0,3.0,13.0]",24,15.767299119496613
"[2.0,12.0,4.0]",1,15.769603965283144
"[1.0,2.0,1.0]",1,14.238615979961597
"[2.0,3.0,6.0]",6,15.033334046498641
"[6.0,2.0,6.0]",1,15.304019101164696
"[1.0,6.0,7.0]",6,15.381358627599052
"[6.0,1.0,6.0]",9,15.195904507487569
"[9.0,6.0,1.0]",12,15.428673651356476
"[15.0,12.0,14.0]",1,18.184509943946733
"[12.0,1.0,15.0]",6,16.82953038939576
"[1.0,20.0,4.0]",1,16.539820802614372
"[19.0,1.0,12.0]",25,17.13728763753186
"[25.0,19.0,1.0]",13,18.349361962531876
"[6.0,13.0,25.0]",6,18.742513162554758
"[10.0,3.0,1.0]",2,15.19902978241089
"[16.0,1.0,7.0]",2,16.261284340500353
"[6.0,1.0,8.0]",6,15.432665931797217
"[6.0,6.0,1.0]",8,15.144573915099087
"[2.0,4.0,1.0]",1,14.549545079401648
"[1.0,1.0,2.0]",1,14.248882098439292
"[2.0,1.0,2.0]",1,14.343582010525088
"[1.0,2.0,1.0]",1,14.238615979961597
"[3.0,85.0,20.0]",13,25.650760610276464
"[5.0,14.0,1.0]",31,15.914790752430317
"[5.0,2.0,23.0]",5,17.221791295710908
"[8.0,5.0,25.0]",23,18.066996237309326
"[34.0,21.0,23.0]",20,22.022266026064422
"[36.0,20.0,34.0]",31,23.40573909026195
"[31.0,36.0,20.0]",11,23.004743058499482
"[12.0,5.0,2.0]",10,15.72303950609156
"[4.0,38.0,1.0]",7,18.414841088595594
"[53.0,14.0,12.0]",10,21.762574366251584
"[12.0,12.0,1.0]",13,16.361460949676633
"[22.0,5.0,13.0]",9,17.972226460652585
"[2.0,13.0,9.0]",7,16.469622119734392
"[1.0,4.0,7.0]",2,15.165129440244797
"[2.0,22.0,2.0]",43,16.613988477744776
"[15.0,8.0,7.0]",7,16.923386584154454
"[18.0,37.0,218.0]",12,45.321139801716406
"[2.0,12.0,18.0]",4,17.42693393545068
"[43.0,3.0,4.0]",19,18.679269017706627
"[8.0,3.0,2.0]",20,15.12801067039412
"[203.0,2.0,6.0]",13,33.9599017820665
"[305.0,13.0,203.0]",24,68.12955363976641
"[24.0,305.0,13.0]",1,50.596004387962566
"[1.0,51.0,3.0]",10,19.772992494450513
"[5.0,14.0,1.0]",3,15.914790752430317
"[2.0,3.0,5.0]",402,14.914953334343817
"[6.0,11.0,1.0]",2,15.685146883484729
"[2.0,6.0,11.0]",22,15.949581388304145
"[22.0,2.0,6.0]",9,16.819217694537432
"[27.0,3.0,9.0]",5,17.75597398510801
"[12.0,4.0,20.0]",18,17.745777731201265
"[18.0,12.0,4.0]",4,17.28480255865588
"[2.0,12.0,4.0]",4,15.769603965283144
"[6.0,13.0,9.0]",2,16.848421768077575
"[15.0,3.0,5.0]",10,16.146052191459162
"[4.0,3.0,8.0]",2,15.459495294979881
